date,industrial_sector,chrobinson,spstock
2019-07-24,74.885139465332,79.7364273071289,3019.560059
2019-07-25,74.7331237792969,78.0468139648438,3003.669922
2019-07-26,74.5716323852539,79.021598815918,3025.860107
2019-07-29,74.4386520385742,78.9658889770508,3020.969971
2019-07-30,74.7616271972656,78.6966552734375,3013.179932
2019-07-31,73.9256744384766,77.7311706542969,2980.379883
2019-08-01,72.4912261962891,75.1967620849609,2953.560059
2019-08-02,72.0257568359375,75.8094711303711,2932.050049
2019-08-05,70.0308456420898,75.3452987670898,2844.73999
2019-08-06,71.0853042602539,75.5031280517578,2881.77002
2019-08-07,71.0473098754883,77.5176467895508,2883.97998
2019-08-08,72.2537384033203,79.8942489624023,2938.090088
2019-08-09,71.645751953125,78.4274291992188,2918.649902
2019-08-12,70.6578063964844,78.3810195922852,2882.699951
2019-08-13,71.5032653808594,78.5666961669922,2926.320068
2019-08-14,69.3183822631836,76.487190246582,2840.600098
2019-08-15,69.2423706054688,76.9606552124023,2847.600098
2019-08-16,70.5818252563477,77.8147048950195,2888.679932
2019-08-19,71.2467803955078,78.2696151733398,2923.649902
2019-08-20,70.8288192749023,78.1396408081055,2900.51001
2019-08-21,71.2658004760742,78.2232055664063,2924.429932
2019-08-22,71.3703002929688,77.7218856811523,2922.949951
2019-08-23,69.4608612060547,76.3386535644531,2847.110107
2019-08-26,69.9738540649414,77.1370162963867,2878.379883
2019-08-27,69.6128616333008,76.4314804077148,2869.159912
2019-08-28,70.4678192138672,77.2112884521484,2887.939941
2019-08-29,71.6742706298828,78.0932388305664,2924.580078
2019-08-30,71.96875,78.4367294311523,2926.459961
2019-09-03,70.9903030395508,76.1715393066406,2906.27002
2019-09-04,71.8927536010742,76.830680847168,2937.780029
2019-09-05,73.1847076416016,78.3997802734375,2976
2019-09-06,73.3366928100586,77.7833633422852,2978.709961
2019-09-09,73.5551834106445,77.7927017211914,2978.429932
2019-09-10,74.2296676635742,80.9776229858398,2979.389893
2019-09-11,74.9231185913086,83.1911926269531,3000.929932
2019-09-12,74.9706192016602,80.7441101074219,3009.570068
2019-09-13,75.3791122436523,81.3512191772461,3007.389893
2019-09-16,75.3125991821289,79.6606979370117,2997.959961
2019-09-17,75.2746047973633,80.5573272705078,3005.699951
2019-09-18,75.1606216430664,81.0616912841797,3006.72998
2019-09-19,74.7806396484375,79.9502182006836,3006.790039
2019-09-20,74.3079071044922,78.9228134155273,2992.070068
2019-09-23,74.1646575927734,78.3530883789063,2991.780029
2019-09-24,73.7444686889648,77.6899490356445,2966.600098
2019-09-25,74.2219619750977,79.2590713500977,2984.870117
2019-09-26,74.3270034790039,78.5398864746094,2977.620117
2019-09-27,74.0309677124023,78.2596740722656,2961.790039
2019-09-30,74.1360015869141,79.1843414306641,2976.73999
2019-10-01,72.3597259521484,78.05419921875,2940.25
2019-10-02,70.9940795898438,76.7746276855469,2887.610107
2019-10-03,71.4620361328125,76.6812210083008,2910.629883
2019-10-04,72.2069320678711,77.7927017211914,2952.01001
2019-10-07,71.8440322875977,77.923454284668,2938.790039
2019-10-08,70.7362289428711,76.7279357910156,2893.060059
2019-10-09,71.337890625,77.5404968261719,2919.399902
2019-10-10,71.9872741699219,78.7640533447266,2938.129883
2019-10-11,73.343376159668,79.6233139038086,2970.27002
2019-10-14,73.2001190185547,79.6886901855469,2966.149902
2019-10-15,73.7922286987305,79.6606979370117,2995.679932
2019-10-16,73.7540283203125,80.3238220214844,2989.689941
2019-10-17,74.1169128417969,80.9402618408203,2997.949951
2019-10-18,73.4770736694336,80.8468627929688,2986.199951
2019-10-21,73.9163665771484,81.0803680419922,3006.719971
2019-10-22,74.498908996582,82.985710144043,2995.98999
2019-10-23,74.4893417358398,83.1631851196289,3004.52002
2019-10-24,74.5944213867188,81.8929443359375,3010.290039
2019-10-25,75.0623550415039,84.1625595092773,3022.550049
2019-10-28,75.2724456787109,84.3680267333984,3039.419922
2019-10-29,75.520751953125,84.5454788208008,3036.889893
2019-10-30,75.7881393432617,71.9925689697266,3046.77002
2019-10-31,74.9764175415039,70.6476211547852,3037.560059
2019-11-01,76.6094360351563,69.769645690918,3066.909912
