date,energy_sector,oxy,spstock
2019-10-10,57.1199989318848,41.0299987792969,2938.129883
2019-10-11,57.8899993896484,41.1199989318848,2970.27002
2019-10-14,57.8600006103516,40.5099983215332,2966.149902
2019-10-15,58.0999984741211,40.7999992370605,2995.679932
2019-10-16,57.2900009155273,40.3400001525879,2989.689941
2019-10-17,57.3300018310547,40.3300018310547,2997.949951
2019-10-18,57.0299987792969,40.4500007629395,2986.199951
2019-10-21,58.0499992370605,40.8199996948242,3006.719971
2019-10-22,58.7999992370605,42.2200012207031,2995.98999
2019-10-23,59.2900009155273,42.9199981689453,3004.52002
2019-10-24,59.0400009155273,42.2900009155273,3010.290039
2019-10-25,59.5200004577637,42.5299987792969,3022.550049
2019-10-28,59.1800003051758,42.2799987792969,3039.419922
2019-10-29,59.4199981689453,42.3300018310547,3036.889893
2019-10-30,58.2099990844727,41.3600006103516,3046.77002
2019-10-31,57.9599990844727,40.5,3037.560059
2019-11-01,59.2799987792969,42.2900009155273,3066.909912
2019-11-04,61.2099990844727,44.2299995422363,3078.27002
2019-11-05,61.2900009155273,41.9099998474121,3074.620117
2019-11-06,60.0400009155273,39.6100006103516,3076.780029
2019-11-07,60.939998626709,39.0299987792969,3085.179932
2019-11-08,60.689998626709,40.0999984741211,3093.080078
2019-11-11,60.3499984741211,38.8800010681152,3087.01001
2019-11-12,60.0400009155273,38.439998626709,3091.840088
2019-11-13,59.7799987792969,38.1199989318848,3094.040039
2019-11-14,59.6199989318848,37.7599983215332,3096.629883
2019-11-15,60.0800018310547,38.9500007629395,3120.459961
2019-11-18,59.3499984741211,39.2999992370605,3122.030029
2019-11-19,58.4700012207031,38.1399993896484,3120.179932
2019-11-20,59.060001373291,38.4799995422363,3108.459961
2019-11-21,60.0299987792969,39.1199989318848,3103.540039
2019-11-22,59.8300018310547,39.5800018310547,3110.290039
2019-11-25,59.8899993896484,39.9300003051758,3133.639893
2019-11-26,59.3400001525879,38.5699996948242,3140.52002
2019-11-27,59.4900016784668,38.75,3153.629883
2019-11-29,58.8899993896484,38.5699996948242,3140.97998
2019-12-02,58.8899993896484,38.6800003051758,3113.870117
2019-12-03,58.0099983215332,38.0200004577637,3093.199951
2019-12-04,58.8800010681152,38.4500007629395,3112.76001
2019-12-05,58.5999984741211,37.9799995422363,3117.429932
2019-12-06,59.7200012207031,39.0099983215332,3145.909912
2019-12-09,59.6500015258789,37.3400001525879,3135.959961
2019-12-10,59.7700004577637,37.5699996948242,3132.52002
2019-12-11,59.6699981689453,37.5400009155273,3141.629883
2019-12-12,60.7700004577637,38.25,3168.570068
2019-12-13,60.310001373291,37.7099990844727,3168.800049
2019-12-16,61.1199989318848,38.3199996948242,3191.449951
2019-12-17,61.1599998474121,38.3199996948242,3192.52002
2019-12-18,61.3899993896484,38.6699981689453,3191.139893
2019-12-19,61.3699989318848,38.7000007629395,3205.370117
2019-12-20,61.3600006103516,39.0099983215332,3221.219971
2019-12-23,61.9900016784668,39.7099990844727,3224.01001
2019-12-24,61.9599990844727,39.8899993896484,3223.379883
2019-12-26,61.939998626709,40.1500015258789,3239.909912
2019-12-27,61.6800003051758,40.1599998474121,3240.02002
2019-12-30,59.7000007629395,40.7000007629395,3221.290039
2019-12-31,60.0400009155273,41.2099990844727,3230.780029
2020-01-02,60.5800018310547,42.5800018310547,3257.850098
2020-01-03,60.4000015258789,43.6100006103516,3234.850098
2020-01-06,60.8699989318848,45.0499992370605,3246.280029
2020-01-07,60.7099990844727,45.2700004577637,3237.179932
2020-01-08,59.7099990844727,44.9799995422363,3253.050049
2020-01-09,60.1500015258789,45.3699989318848,3274.699951
2020-01-10,59.810001373291,45.9000015258789,3265.350098
2020-01-13,59.8300018310547,46.5699996948242,3288.129883
2020-01-14,59.8400001525879,47.2400016784668,3283.149902
2020-01-15,59.4000015258789,47.2599983215332,3289.290039
2020-01-16,59.5,46.6699981689453,3316.810059
2020-01-17,59.1199989318848,45.8300018310547,3329.620117
2020-01-21,58.060001373291,44.3199996948242,3320.790039
2020-01-22,57.5,43.2900009155273,3321.75
2020-01-23,57.2799987792969,42.5200004577637,3325.540039
2020-01-24,56.6199989318848,42.2200012207031,3295.469971
2020-01-27,55.0499992370605,41.2400016784668,3243.629883
2020-01-28,55.2999992370605,41.2000007629395,3276.23999
2020-01-29,54.7200012207031,40.4700012207031,3273.399902
2020-01-30,55.1599998474121,40.5900001525879,3283.659912
2020-01-31,53.439998626709,39.7200012207031,3225.52002
2020-02-03,52.7400016784668,40.0800018310547,3248.919922
2020-02-04,52.9300003051758,40.5,3297.590088
2020-02-05,54.9199981689453,42.1199989318848,3334.689941
2020-02-06,54.3600006103516,42.1199989318848,3345.780029
2020-02-07,53.9799995422363,41.8899993896484,3327.709961
2020-02-10,53.7099990844727,40.5,3352.090088
2020-02-11,54.310001373291,41.1699981689453,3357.75
2020-02-12,55.0400009155273,42.4900016784668,3379.449951
2020-02-13,54.8699989318848,42.0400009155273,3373.939941
2020-02-14,54.5800018310547,41.5999984741211,3380.159912
2020-02-18,54.1300010681152,41.560001373291,3370.290039
2020-02-19,54.8499984741211,42.5099983215332,3386.149902
2020-02-20,54.7900009155273,42.9700012207031,3373.22998
2020-02-21,54.1399993896484,42.1199989318848,3337.75
2020-02-24,51.6399993896484,39.4799995422363,3225.889893
2020-02-25,49.3600006103516,36.189998626709,3128.209961
2020-02-26,47.8699989318848,34.2200012207031,3116.389893
2020-02-27,45.310001373291,31.8099994659424,2978.76001
2020-02-28,45.2700004577637,32.7400016784668,2954.219971
2020-03-02,47.0999984741211,32.9500007629395,3090.22998
2020-03-03,45.6599998474121,32.9900016784668,3003.370117
2020-03-04,46.7400016784668,32.9300003051758,3130.120117
2020-03-05,45.0299987792969,31.4799995422363,3023.939941
2020-03-06,42.5,26.8600006103516,2972.370117
2020-03-09,33.939998626709,12.5100002288818,2746.560059
